feature,Chi2_statistic,p_value,unique_levels
bin_first_4,652591.4745104545,0.0,4797
buyer_city,192110.19962474785,0.0,5325
bin_first_2,129551.15817985422,0.0,90
merchant_register_date,25421.25942139403,0.0,79
merchant_work_beginning_date,10574.944274479178,0.0,67
buyer_country,5022.845081689016,0.0,391
payment_channel,4380.562902602635,0.0,6
card_family,3349.120937398723,0.0,86
payment_group,3252.849304459936,0.0,5
merchant_type,2985.8154739444167,0.0,2
card_type,2941.0669912891362,0.0,4
merchant_company_type,908.8810056464389,1.0487401475436327e-196,4
merchant_source_name,640.0412161564927,1.039479230592161e-139,3
card_association,441.96181986163754,2.661036015190718e-93,7
merchant_segment,282.7796398568252,1.861551013876252e-63,2
merchant_city,116.41921068910376,1.3076270972725896e-15,21
payment_currency,84.56427573035171,4.3361155020577683e-19,3
merchant_onboarding_source,35.290497835322185,2.1715296483401658e-08,3
payment_type,6.466983213477672,0.09097373835337866,4
